Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
NIA Research and Entrepreneurial Development Immersion (REDI): Mentored Entrepreneurial Career Development Award (K01 Clinical Trial Not Allowed),8/24/2022,10/17/2024,K01,NIA,NIH,None,PAR-22-227,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-227.html
NIA Research and Entrepreneurial Development Immersion (REDI): Entrepreneurship Enhancement Award (R25 Independent Clinical Trial Not Allowed),8/24/2022,10/17/2024,R25,NIA,NIH,None,PAR-22-226,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-226.html
"Catalyst Award for Early-Stage Investigators (ESIs) Pursuing Research on HIV Comorbidities, Coinfections, and Complications (DP1- Clinical Trial Optional)",8/24/2022,5/1/2025,DP1,NIDDK,NIH,"NCI, NHLBI, NICHD",PAR-23-024,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-024.html
NICHD Research Education Programs (R25 Clinical Trial Not Allowed),8/24/2022,5/25/2025,R25,NICHD,NIH,NCATS,PAR-22-224,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-224.html
HEAL Initiative: Translational Development of Diagnostic and Therapeutic Devices (R18 Clinical Trial Not Allowed),8/23/2022,6/17/2025,R18,NIBIB,NIH,"NCCIH, NCI, NEI, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCR, NINDS",RFA-EB-22-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-EB-22-002.html
"Notice of Special Interest (NOSI): HEAL Initiative: Biospecimen Collection in Pregnancy
",8/22/2022,,Admin Supp,NIDA,NIH,ORWH,NOT-DA-23-005,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-23-005.html
Physiomimetics and Organoids for Reproductive Health (R01 Clinical Trial Not Allowed),8/22/2022,3/29/2023,R01,NICHD,NIH,None,RFA-HD-23-024,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-024.html
Physiomimetics and Organoids for Reproductive Health (R21 Clinical Trial Not Allowed),8/22/2022,3/29/2023,R21,NICHD,NIH,None,RFA-HD-23-025,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HD-23-025.html
AHRQ Conference Grant Programs (R13),8/17/2022,10/31/2026,R13,AHRQ,AHRQ,None,PA-22-238,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-22-238.html
Chemical Countermeasures Research Program (CCRP) Initiative: Basic Research on The Deleterious Effects of Acute Exposure to Ultra-Potent Synthetic (UPS) Opioids (R01 Clinical Trial Not Allowed),8/17/2022,11/19/2024,R01,NIDA,NIH,NIAID,RFA-DA-23-056,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-056.html
Javits Neuroscience Investigator Award  Extension Request (Type 4 Clinical Trial Optional),8/15/2022,10/2/2025,444,NINDS,NIH,None,PAR-23-022,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-022.html
Notice of Special Interest (NOSI): Research on the Health of Bisexual and Bisexual+ People ,8/11/2022,,"K24,U01,R01,K01,R15,R03,K76,R34,K99/R00,T32,F32,UG3/UH3,R21,K23,F31",OD,NIH,"NCCIH, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCR, NIMH, NIMHD, NINDS, ODP",NOT-OD-22-166,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-166.html
Notice of Special Interest (NOSI): Administrative Supplements for NIA-VA Mentored Physician and Clinical Psychologist Scientist Award in Alzheimers Disease (AD) and AD-Related Dementias (ADRD),8/10/2022,,Admin Supp,NIA,NIH,None,NOT-AG-22-020,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-22-020.html
NIAMS Clinical Trial Planning Grant (R34) - Clinical Trial Not Allowed,8/10/2022,11/3/2023,R34,NIAMS,NIH,None,PAR-22-205,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-205.html
Advancing Research to Understand Congenital Malformations (R01 Clinical Trial Not Allowed),8/9/2022,9/7/2025,R01,NICHD,NIH,None,PAR-22-215,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-215.html
Identifying Host Cell Death Pathway Targets for Host-Directed Therapies for Treatment of Mtb and Mtb/HIV Co-Infection (R01 Clinical Trial Not Allowed),8/9/2022,12/7/2024,R01,NIAID,NIH,None,PAR-22-223,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-223.html
NIDA REI: Addressing Racial Equity in Substance Use and Addiction Outcomes Through Community-Engaged Research at Minority Serving Institutions (R01 Clinical Trial Optional),8/9/2022,11/14/2024,R01,NIDA,NIH,None,RFA-DA-23-032,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-032.html
NIDA REI: Racial Equity Visionary Award Program for Research at Minority Serving Institutions on Substance Use and Racial Equity (DP1 Clinical Trial Optional),8/9/2022,11/14/2024,DP1,NIDA,NIH,None,RFA-DA-23-031,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-031.html
NIDA REI: Research at Minority Serving Institutions on Neurocognitive Mechanisms Underlying the Impact of Structural Racism on the Substance Use Trajectory (R61/R33 Clinical Trial Optional),8/9/2022,11/14/2024,R61/R33,NIDA,NIH,None,RFA-DA-23-029,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-029.html
NIDA REI: Research on Neurocognitive Mechanisms Underlying the Impact of Structural Racism on the Substance Use Trajectory (R61/R33 Clinical Trial Optional),8/9/2022,11/14/2024,R61/R33,NIDA,NIH,None,RFA-DA-23-028,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-028.html
NIDA REI: Racial Equity Visionary Award Program for Research on Substance Use and Racial Equity (DP1 Clinical Trial Optional),8/9/2022,11/14/2024,DP1,NIDA,NIH,None,RFA-DA-23-026,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-026.html
NIDA REI: Reaching Equity at the Intersection of HIV and Substance Use: Novel Approaches to Address HIV Related Health Disparities in Underserved Racial/Ethnic Populations (R01 Clinical Trial Optional),8/9/2022,11/14/2024,R01,NIDA,NIH,None,RFA-DA-23-023,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-023.html
NIDA REI: Addressing Racial Equity in Substance Use and Addiction Outcomes Through Community-Engaged Research (R01 Clinical Trial Optional),8/9/2022,11/14/2024,R01,NIDA,NIH,None,RFA-DA-23-013,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-013.html
HEAL Initiative: Development and Validation of Non-Rodent Mammalian Models of Pain(R01 Clinical Trial Not Allowed),8/9/2022,3/6/2024,R01,NINDS,NIH,"NCCIH, NCI, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCR, NIDDK",RFA-NS-22-070,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-22-070.html
AHRQ Mentored Clinical Scientist Research Career Development Award (K08),8/9/2022,2/13/2027,K08,AHRQ,AHRQ,None,PA-22-232,PA,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-22-232.html
Notice of Special Interest (NOSI): Community-Based Participatory Research (CBPR) Initiative in Reducing and Eliminating Health Disparities with a focus on addressing diverse representation in research on Down syndrome (R21 Clinical Trial Optional),8/5/2022,,R21,OD,NIH,"NCI, NEI, NHLBI, NIA, NIAMS, NICHD, NIDCD, NIDCR, NIMHD, NINDS",NOT-OD-22-142,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-142.html
Notice of Special Interest (NOSI): Opportunities for HIV Cure Interventions at the Time of ART Initiation,8/5/2022,,"R01,R21",NIAID,NIH,NIMH,NOT-AI-22-056,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-22-056.html
Next Generation Multipurpose Prevention Technologies (NGM) (R01 Clinical Trial Optional),8/4/2022,12/7/2024,R01,NIAID,NIH,"NICHD, NIMH",PAR-22-222,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-222.html
HEAL Initiative: Translating Research to Practice to End the Overdose Crisis (R33 Clinical Trial Optional) ,8/3/2022,3/20/2024,R33,NIDA,NIH,"NIA, NICHD, NIMH, NCCIH",RFA-DA-23-054,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-054.html
HEAL Initiative: Translating Research to Practice to End the Overdose Crisis (R61/R33 Clinical Trial Optional) ,8/3/2022,3/20/2024,R61/R33,NIDA,NIH,"NCCIH, NIA, NICHD, NIMH",RFA-DA-23-053,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-23-053.html
Notice of Special Interest (NOSI): HEAL Initiative: Clinical Translation of Diagnostic and Therapeutic Devices via Blueprint MedTech,8/3/2022,,"U44,UG3/UH3",NINDS,NIH,"NCCIH, NCI, NEI, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCR, NIMH",NOT-NS-23-002,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-23-002.html
Notice of Special Interest (NOSI): HEAL Initiative: Opioid Use Disorder Care Pathways for Individuals with Histories of Exposure to Violence,8/3/2022,,"K01,K23,R33,R61/R33",NIDA,NIH,"NCCIH, NICHD, NIMH, OBSSR",NOT-DA-23-007,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-23-007.html
Notice of Special Interest (NOSI) HEAL Initiative: Workforce Interventions to Improve Addiction Care Quality and Patient Outcomes,8/3/2022,,R61/R33,NIDA,NIH,"NCCIH, NIA, NIAAA",NOT-DA-23-008,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-23-008.html
HEAL Initiative: Interdisciplinary Team Science to Uncover the Mechanisms of Pain Relief by Medical Devices (RM1 Clinical Trial Optional),8/1/2022,6/9/2025,RM1,NINDS,NIH,"NCCIH, NCI, NEI, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCR, NIDDK",RFA-NS-23-003,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-23-003.html
Postbaccalaureate Research Education Program (PREP)(R25 - Independent Clinical Trial Not Allowed),8/1/2022,1/31/2025,R25,NIGMS,NIH,None,PAR-22-220,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-220.html
Specialized Centers of Research Excellence (SCORE) on Sex Differences (U54 Clinical Trial Optional),8/1/2022,8/15/2024,U54,ORWH,NIH,"NHLBI, NIA, NIAAA, NIAMS, NIDA, NIDDK, NIEHS, NIMH",RFA-OD-22-014,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-22-014.html
Notice of Special Interest (NOSI): Administrative Supplements to Support Extramural Collaborators for Notified Applicants for the Bench-to-Bedside and Back Program (BtB) (Clinical Trial Optional),7/28/2022,,Admin Supp,OD,NIH,None,NOT-OD-22-185,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-185.html
Notice of Special Interest (NOSI): Promoting Mechanistic Research on Therapeutic and Other Biological Properties of Minor Cannabinoids and Terpenes,7/27/2022,,"R21,R01,UG3/UH3",NCCIH,NIH,"NCI, NEI, NIA, NIAAA, NIDA, NIDCR, NINDS, ODS, ORWH",NOT-AT-22-027,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AT-22-027.html
NCI Outstanding Investigator Award (R35 Clinical Trial Optional),7/26/2022,11/7/2024,R35,NCI,NIH,None,RFA-CA-22-045,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-22-045.html
Biology of Bladder Cancer (R01 Clinical Trial Optional),7/26/2022,9/7/2025,R01,NCI,NIH,None,PAR-22-218,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-218.html
Biology of Bladder Cancer (R21 Clinical Trial Optional),7/26/2022,9/7/2025,R21,NCI,NIH,None,PAR-22-219,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-219.html
NIMH Biobehavioral Research Awards for Innovative New Scientists (NIMH BRAINS) (R01 Clinical Trial Optional),7/26/2022,6/20/2025,R01,NIMH,NIH,None,RFA-MH-22-185,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-22-185.html
Notice of Special Interest (NOSI): Respiratory Complications of the Muscular Dystrophies (R01),7/18/2022,,R01,NHLBI,NIH,"NICHD, NINDS",NOT-HL-22-025,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-22-025.html
Notice of Special Interest (NOSI): Single-Cell Level Spatiotemporal Mapping of Dental and Craniofacial Embryogenesis,7/18/2022,,"R15,R01,K18,K99/R00,K02,R21,K01,R03,R16,K22",NIDCR,NIH,None,NOT-DE-22-003,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DE-22-003.html
Research to Action: Assessing and Addressing Community Exposures to Environmental Contaminants (R01 Clinical Trial Optional),7/15/2022,9/7/2025,R01,NIEHS,NIH,NIMHD,PAR-22-210,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-210.html
HEAL Initiative:  Career Development Awards in Implementation Science for Substance Use Prevention and Treatment (K01 - Clinical Trial Required),7/14/2022,11/12/2025,K01,NIDA,NIH,"NCCIH, NCI, NIAAA, NIMH",PAS-22-206,PAS,Required,https://grants.nih.gov/grants/guide/pa-files/PAS-22-206.html
HEAL Initiative:  Career Development Awards in Implementation Science for Substance Use Prevention and Treatment (K23 - Clinical Trial Required),7/14/2022,11/12/2025,K23,NIDA,NIH,"NCCIH, NCI, NIAAA, NIMH",PAS-22-207,PAS,Required,https://grants.nih.gov/grants/guide/pa-files/PAS-22-207.html
NCI Clinical and Translational Exploratory/Developmental Studies (R21 Clinical Trial Optional),7/14/2022,7/1/2025,R21,NCI,NIH,None,PAR-22-216,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-216.html
Notice of Special Interest (NOSI): Increasing Uptake of Evidence-Based Screening in Diverse Populations Across the Lifespan,7/14/2022,,"R21,R01,UG3/UH3,R61/R33,R34,R03",ODP,NIH,"NCI, NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINDS, NINR, ODS, ORWH, SGMRO",NOT-OD-22-178,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-178.html
Notice of Special Interest (NOSI): Addressing Evidence Gaps in Screening,7/14/2022,,"R21,R01,R61/R33,UG3/UH3,R34,U01",ODP,NIH,"NIA, NIAAA, NIAMS, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINDS, NINR, ODS, ORWH, SGMRO",NOT-OD-22-179,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-179.html
"Notice of Special Interest (NOSI): HEAL Initiative: Regarding the Availability of Administrative Supplements to Support the Addition of Justice Measures
",7/14/2022,,Admin Supp,NIDA,NIH,"NCCIH, NIAMS",NOT-DA-23-011,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-23-011.html
HEAL Initiative Notice of Special Interest (NOSI): Development and Validation of Pain-Related Models and Endpoints to Facilitate Non-Addictive Analgesic Discovery,7/13/2022,,R61/R33,NINDS,NIH,"NCCIH, NCI, NEI, NIA, NIAAA, NIAMS, NICHD, NIDCR, NIDDK",NOT-NS-22-095,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-22-095.html
Basket Clinical Trials of Drugs Targeting Shared Molecular Etiologies in Multiple Rare Diseases (U44 Clinical Trial Required),7/13/2022,7/12/2023,U44,NCATS,NIH,None,RFA-TR-22-029,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-TR-22-029.html
Institutional Research and Academic Career Development Awards (IRACDA) (K12 - Independent Clinical Trial Not Allowed),7/13/2022,10/3/2024,K12,NIGMS,NIH,None,PAR-22-212,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-212.html
Postdoctoral Research Associate Training (PRAT) Program (Fi2),7/13/2022,10/3/2024,FI2,NIGMS,NIH,None,PAR-22-191,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-191.html
Single-Site Investigator-Initiated Clinical Trials (R61/R33 Clinical Trial Required),7/12/2022,9/11/2025,R61/R33,NHLBI,NIH,None,PAR-22-189,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-22-189.html
Clinical Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative UG3/UH3 Clinical Trial Required),7/12/2022,9/11/2025,UG3/UH3,NHLBI,NIH,None,PAR-22-192,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-22-192.html
Data Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative U24 Clinical Trial Required),7/12/2022,9/11/2025,U24,NHLBI,NIH,None,PAR-22-193,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-22-193.html
Notice of Special Interest (NOSI): Research on the Health of Sexual and Gender Minority (SGM) Populations,7/11/2022,,"R01,K08,K99/R00,K01,K23,R21,K25,K18,R03,P50,F99/K00,UG3/UH3,R34,R25,U01",NIMHD,NIH,"NCCIH, NCI, NHGRI, NIA, NIAID, NIAMS, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NINDS, NINR, ODP, ORWH, SGMRO",NOT-MD-22-012,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-22-012.html
Collaborative Research Using Biosamples from Type 1 Diabetes Clinical Studies (R01 -  Clinical Trial Not Allowed),7/11/2022,10/26/2023,R01,NIDDK,NIH,None,RFA-DK-22-021,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-021.html
Notice of Special Interest (NOSI): Research on Addressing Violence to Improve Health Outcomes,7/8/2022,,"R21,R01,R34,UG3/UH3",OBSSR,NIH,"NIA, NIAAA, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ODP, ORWH, SGMRO",NOT-OD-22-167,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-167.html
Building in vivo Preclinical Assays of Circuit Engagement for Application in Therapeutic Development (R01 Clinical Trial Not Allowed),7/7/2022,9/7/2025,R01,NIMH,NIH,None,PAR-22-170,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-170.html
Complex Integrated Multi-Component Projects in Aging Research (U19 Clinical Trial Optional),7/7/2022,9/25/2025,U19,NIA,NIH,None,PAR-22-213,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-213.html
CCRP Initiative: Countermeasures Against Chemical Threats (CounterACT) Therapeutics Discovery and Early-Stage Development (UG3/UH3 Clinical Trial Not Allowed),7/6/2022,10/17/2024,UG3/UH3,NINDS,NIH,"NEI, NIAID, NIAMS, NIDA, NIEHS",PAR-22-209,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-209.html
Notice of Special Interest (NOSI): Studies of Cellular/Molecular Pathobiological Mechanisms of Lung Diseases Using Human 3-Dimensional Cellular Systems (R01),7/5/2022,,R01,NHLBI,NIH,None,NOT-HL-22-030,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-22-030.html
Clinical Studies of Orphan Products Addressing Unmet Needs of Rare Diseases (R01) Clinical Trials Required,6/30/2022,10/22/2024,R01,FDA,FDA,None,RFA-FD-23-001,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-001.html
NIDDK Central Repository Non-renewable Sample Access (X01 Clinical Trial Not Allowed),6/29/2022,6/26/2025,X01,NIDDK,NIH,None,PAR-22-171,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-171.html
Pilot Projects Investigating Understudied Proteins Associated with Rare Diseases (R03 Clinical Trial Not Allowed),6/28/2022,7/15/2024,R03,NCATS,NIH,NIMH,RFA-TR-22-030,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-TR-22-030.html
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01),6/28/2022,1/30/2028,U01,NIOSH,CDC,None,RFA-OH-22-005,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-22-005.html
Commercial Fishing Occupational Safety Training Project Grants (T03),6/28/2022,1/30/2028,T03,NIOSH,CDC,None,RFA-OH-22-006,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-22-006.html
NIDA Program Project Grant Applications (P01 Clinical Trial Optional),6/28/2022,5/6/2023,P01,NIDA,NIH,None,PAR-22-201,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-201.html
Cancer Prevention and Control Clinical Trials Planning Grant Program (U34 Clinical Trials Optional),6/23/2022,9/7/2025,U34,NCI,NIH,None,PAR-22-174,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-174.html
Cancer Prevention and Control Clinical Trials Planning Grant Program (R34 Clinical Trials Optional),6/23/2022,9/7/2025,R34,NCI,NIH,None,PAR-22-173,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-173.html
Advancing Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (R41/R42 Clinical Trial Optional),6/21/2022,9/5/2025,R41/R42,NIA,NIH,NINDS,PAS-22-197,PAS,Optional,https://grants.nih.gov/grants/guide/pa-files/PAS-22-197.html
Advancing Research on Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) (R43/R44 Clinical Trial Optional),6/21/2022,9/5/2025,R43/R44,NIA,NIH,NINDS,PAS-22-196,PAS,Optional,https://grants.nih.gov/grants/guide/pa-files/PAS-22-196.html
"Notice of Special Interest (NOSI): Stimulating Research to Understand and Address Hunger, Food and Nutrition Insecurity",6/21/2022,,"R01,Admin Supp,R21,K01,R34,R33,R61/R33,UG3/UH3,K43",ONR,Other,"FIC, NCI, NHLBI, NIAMS, NICHD, NIDCR, NIDDK, NIMH, NIMHD, NINR, OAR, OBSSR, ODP, ODS, PN, ORWH",NOT-OD-22-135,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-135.html
"Precision Approaches in Radiation Synthetic Combinations (PAIRS, R01 Clinical Trial Optional)",6/14/2022,9/7/2025,R01,NCI,NIH,None,PAR-22-198,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-198.html
"Precision Approaches in Radiation Synthetic Combinations (PAIRS, R21 Clinical Trial Optional)",6/14/2022,9/7/2025,R21,NCI,NIH,None,PAR-22-199,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-199.html
Notice of Special Interest (NOSI): Preventive Interventions to Address Cardiometabolic Risk Factors in Populations that Experience Health Disparities,6/14/2022,,"R01,R21,R34,R03,UG3/UH3",ODP,NIH,"NCI, NHLBI, NIAAA, NIAMS, NIDCR, NIEHS, NIMHD, NINDS, OBSSR, ORWH",NOT-OD-22-154,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-154.html
Innovative Approaches to Studying Cancer Communication in the New Information Ecosystem (R21 Clinical Trial Optional),6/13/2022,9/7/2025,R21,NCI,NIH,None,PAR-22-165,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-165.html
Innovative Approaches to Studying Cancer Communication in the New Information Ecosystem (R01 Clinical Trial Optional),6/13/2022,9/7/2025,R01,NCI,NIH,None,PAR-22-164,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-164.html
Notice of Special Interest (NOSI): Research to Support Regulatory Science on Infant Formula,6/13/2022,,"R03,R41/R42,R43/R44,R01,Admin Supp,R21",NICHD,NIH,"OD, ODS",NOT-HD-22-016,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-22-016.html
"Research Opportunities for New and ""At-Risk"" Investigators to Promote Workforce Diversity (R01 Clinical Trial Optional)",6/9/2022,6/6/2025,R01,NINDS,NIH,"NEI, NIDA, NIMH",PAR-22-181,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-22-181.html
"Notice of Special Interest (NOSI): Innovative Technologies to Improve Assessments, Interventions, and Outcomes for Individuals with Intellectual and Developmental Disabilities (R43/R44)",6/7/2022,,"R41/R42,R43/R44",NICHD,NIH,None,NOT-HD-22-009,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-22-009.html
Notice of Special Interest (NOSI): Availability of Administrative Supplements for the INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Project,6/7/2022,,"Admin Supp,",OD,NIH,"FIC, NCATS, NCI, NEI, NHLBI, NIA, NIAMS, NICHD, NIDCD, NIDCR, NIGMS, NIMHD, NINDS",NOT-OD-22-137,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-22-137.html
Notice of Special Interest (NOSI):  Innovative Technologies for Research on Climate Change and Human Health (R43/R44 Small Business Innovation Research (R43/R44 Clinical Trial Optional),6/3/2022,,R43/R44,NIEHS,NIH,"NCATS, NEI, NHLBI, NIA, NIAID, NIAMS, NICHD, NIMH, NIMHD, NINR, NLM",NOT-ES-22-010,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-22-010.html
Notice of Special Interest (NOSI):  Innovative Technologies for Research on Climate Change and Human Health Small Business Technology Transfer (R41/R42 Clinical Trial Optional),6/3/2022,,R41/R42,NIEHS,NIH,"NCATS, NEI, NHLBI, NIA, NIAID, NICHD, NIMH, NIMHD, NINR",NOT-ES-22-009,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-22-009.html
"PHS 2022-2 Omnibus Solicitation of the NIH, CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Not Allowed)",6/2/2022,4/5/2023,R43/R44,OD,NIH,"GH, CTPER, FDA, NCATS, NCBDD, CCDPH, NCCIH, NCEH, CK, PS, NCI, NCIPC, IP, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NIOSH, NLM, ORIP",PA-22-176,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-22-176.html
PHS 2022-2 Omnibus Solicitation of the NIH and CDC for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Required),6/2/2022,4/5/2023,R43/R44,OD,NIH,"GH, CTPER, NCBDD, CCDPH, NCCIH, NCEH, CK, PS, NCI, NCIPC, IP, NEI, NHGRI, NHLBI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINR, NIOSH",PA-22-177,PA,Required,https://grants.nih.gov/grants/guide/pa-files/PA-22-177.html
PHS 2022-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Not Allowed),6/2/2022,4/5/2023,R41/R42,OD,NIH,"NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP",PA-22-178,PA,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-22-178.html
